2024-03-11 16:20:55,596 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-11 16:20:55,600 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Configure stats pid to 55315
2024-03-11 16:20:55,600 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Loading settings from /Users/mo/.config/wandb/settings
2024-03-11 16:20:55,600 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Loading settings from /Users/mo/Desktop/repos/nlp_a2/part_3/wandb/settings
2024-03-11 16:20:55,600 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-11 16:20:55,601 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-03-11 16:20:55,601 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-11 16:20:55,601 INFO    MainThread:55315 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-03-11 16:20:55,601 INFO    MainThread:55315 [wandb_init.py:_log_setup():526] Logging user logs to /Users/mo/Desktop/repos/nlp_a2/part_3/wandb/run-20240311_162055-s91535q2/logs/debug.log
2024-03-11 16:20:55,601 INFO    MainThread:55315 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/mo/Desktop/repos/nlp_a2/part_3/wandb/run-20240311_162055-s91535q2/logs/debug-internal.log
2024-03-11 16:20:55,602 INFO    MainThread:55315 [wandb_init.py:_jupyter_setup():472] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x3ca082bb0>
2024-03-11 16:20:55,605 INFO    MainThread:55315 [wandb_init.py:init():566] calling init triggers
2024-03-11 16:20:55,605 INFO    MainThread:55315 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-11 16:20:55,606 INFO    MainThread:55315 [wandb_init.py:init():616] starting backend
2024-03-11 16:20:55,606 INFO    MainThread:55315 [wandb_init.py:init():620] setting up manager
2024-03-11 16:20:55,607 INFO    MainThread:55315 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-11 16:20:55,610 INFO    MainThread:55315 [wandb_init.py:init():628] backend started and connected
2024-03-11 16:20:55,642 INFO    MainThread:55315 [wandb_run.py:_label_probe_notebook():1295] probe notebook
2024-03-11 16:20:55,642 INFO    MainThread:55315 [wandb_run.py:_label_probe_notebook():1305] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-03-11 16:20:55,642 INFO    MainThread:55315 [wandb_init.py:init():720] updated telemetry
2024-03-11 16:20:55,682 INFO    MainThread:55315 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-11 16:20:56,410 INFO    MainThread:55315 [wandb_run.py:_on_init():2262] communicating current version
2024-03-11 16:20:56,479 INFO    MainThread:55315 [wandb_run.py:_on_init():2271] got version response 
2024-03-11 16:20:56,479 INFO    MainThread:55315 [wandb_init.py:init():804] starting run threads in backend
2024-03-11 16:20:58,162 INFO    MainThread:55315 [wandb_run.py:_console_start():2241] atexit reg
2024-03-11 16:20:58,162 INFO    MainThread:55315 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-11 16:20:58,163 INFO    MainThread:55315 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-11 16:20:58,163 INFO    MainThread:55315 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-11 16:20:58,163 INFO    MainThread:55315 [wandb_init.py:init():847] run started, returning control to user process
2024-03-11 16:20:58,164 INFO    MainThread:55315 [wandb_watch.py:watch():51] Watching
2024-03-11 16:21:21,126 INFO    MainThread:55315 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-03-11 16:21:21,126 INFO    MainThread:55315 [wandb_init.py:_pause_backend():437] pausing backend
